,zipcode,living_non_water,living_water,lot_non_water,lot_water,waterfront_larger_lot
0,98023,184.55574289314515,233.80588333333333,950.9007897137096,4579.126934666667,3628.226144952957
1,98118,155.74469057738096,357.9862266666667,519.5718247063493,3464.35287,2944.781045293651
2,98033,219.10577017948717,525.5213033333333,955.5896467016316,3737.239948666667,2781.6503019650354
3,98004,268.1603935443038,932.74612,1210.3005944272152,3467.604475,2257.3038805727847
4,98199,200.50878174050632,304.72184,498.0867926360759,2704.499233,2206.412440363924
5,98116,172.003833331307,231.32847,456.1867684528875,2573.598906,2117.4121375471127
6,98034,182.19276147037036,359.90622199999996,891.3139626388888,2715.740496,1824.426533361111
7,98105,196.41667361061945,454.29567,452.86718360619466,2201.243682,1748.3764983938052
8,98136,159.12555472093024,227.61234999999996,523.5598977480621,2218.0962862,1694.536388451938
9,98146,149.07571178723404,224.05106833333332,802.9843489148935,2484.102349333333,1681.1180004184398
10,98198,160.1123212287823,223.48332777777776,939.065923708487,2147.081233,1208.015309291513
11,98166,186.42535333333333,289.64501028571425,1199.514761925,2375.881414214286,1176.366652289286
12,98028,196.79655667730498,313.08311,1105.1655224751773,2142.807695,1037.6421725248226
13,98155,163.28597573696146,403.756438,944.0994564603175,1958.9898192,1014.8903627396826
14,98115,170.1413091082474,381.83133,504.1036500360825,1479.851887,975.7482369639175
15,98144,176.49226991788856,373.47006,375.54743646627566,1192.317102,816.7696655337243
16,98052,219.17916559369527,297.90895333333333,1029.2547651541156,1797.1775673333334,767.9228021792178
17,98177,215.6300575590551,270.34773,1103.1953272519686,1806.870447,703.6751197480314
18,98008,191.36492220802918,406.3990122222222,928.0724887883212,1508.6931072222224,580.6206184339012
19,98039,351.1638601020408,448.72149,1607.6409114897958,2067.742071,460.1011595102043
20,98178,159.0587489328063,205.72853222222224,757.1168541581028,1188.7042075555555,431.5873533974527
21,98125,161.00066847146402,245.10908166666664,708.5430565186105,1094.8928226666667,386.34976614805623
22,98040,283.02367585977856,426.85550209090906,1264.5260444538744,1486.5324572727272,222.00641281885282
23,98056,186.23962417617867,342.5023933333334,887.3919358312654,1071.9767493333334,184.58481350206796
